,GFC Proxy-Monthly
2007-08-31,2.788488593149583
2007-09-30,2.921932495245476
2007-10-31,3.085943846318551
2007-11-30,2.7708092892063223
2007-12-31,2.7552486797637057
2008-01-31,2.107047134138658
2008-02-29,2.1483521373901757
2008-03-31,1.9270413267726727
2008-04-30,2.099377025651194
2008-05-31,2.1426894994943435
2008-06-30,1.6296530477611284
2008-07-31,1.4427741511997985
2008-08-31,1.3144130954130235
2008-09-30,0.55090707504015
2008-10-31,-0.8258831027678127
2008-11-30,-1.1431338221939873
2008-12-31,-1.175886535596029
2009-01-31,-1.447756327344507
2009-02-28,-1.8563876032073598
2009-03-31,-1.5696377266048187
2009-04-30,-0.9795851913590449
2009-05-31,-0.5702608683276018
2009-06-30,-0.6296687116666106
2009-07-31,-0.28344067252646354
2009-08-31,-0.08796331640127013
2009-09-30,0.13695864917367945
2009-10-31,0.035273405361931805
2009-11-30,0.09164259471361774
2009-12-31,0.238414191238688
2010-01-31,0.14600984762406968
2010-02-28,0.08411463885004959
2010-03-31,0.36966540266594766
2010-04-30,0.345562007321584
2010-05-31,-0.07519735377744774
2010-06-30,-0.1868287590537555
2010-07-31,0.07802749231019965
2010-08-31,-0.031600763891445255
2010-09-30,0.21821413087532343
2010-10-31,0.35570513346536003
2010-11-30,0.24192408632857465
2010-12-31,0.44390950195943957
2011-01-31,0.4820858633924243
2011-02-28,0.49787667991193835
2011-03-31,0.49876065252761015
2011-04-30,0.5299119472540178
2011-05-31,0.3756770645445272
2011-06-30,0.2653394607134708
2011-07-31,0.13633792978958337
2011-08-31,-0.3540651530018512
2011-09-30,-0.776445560748779
2011-10-31,-0.4727358857261947
2011-11-30,-0.6896264973412137
2011-12-31,-0.7570295477844572
2012-01-31,-0.49420712830909036
2012-02-29,-0.34358175101811655
2012-03-31,-0.37476054088186744
2012-04-30,-0.5056066829458178
2012-05-31,-0.9339017780443805
2012-06-30,-0.7860998697857586
2012-07-31,-0.7573130078709939
2012-08-31,-0.6942350047522412
2012-09-30,-0.6209378542328932
2012-10-31,-0.635886912307099
2012-11-30,-0.6213548107937132
2012-12-31,-0.46757183225178334
2013-01-31,-0.24925089778611464
2013-02-28,-0.28718089485526044
2013-03-31,-0.3080216333540955
2013-04-30,-0.2684045643659071
2013-05-31,-0.26531911546569076
2013-06-30,-0.5371314009595934
2013-07-31,-0.4013691774272245
2013-08-31,-0.4635351929312913
2013-09-30,-0.2656467204151141
2013-10-31,-0.10900978107939294
2013-11-30,-0.09681987961664217
2013-12-31,-0.12071617721136424
2014-01-31,-0.2078407984397494
2014-02-28,-0.1096162965200625
2014-03-31,-0.11398334894125217
2014-04-30,-0.13716456068176766
2014-05-31,-0.030021340824470024
2014-06-30,-0.03147712124683005
2014-07-31,-0.11106234658331522
2014-08-31,-0.0491446170854885
2014-09-30,-0.10272071779391313
2014-10-31,-0.190650917371225
2014-11-30,-0.14936384995109844
2014-12-31,-0.3112941816476794
2015-01-31,-0.2524012926807364
2015-02-28,-0.019523352893189894
2015-03-31,-0.04340395823757424
2015-04-30,0.06437010082080824
2015-05-31,0.023924085908558355
2015-06-30,-0.12995544027214176
2015-07-31,-0.1443198077911474
2015-08-31,-0.4853006520547277
2015-09-30,-0.6379325989527005
2015-10-31,-0.3713987252115652
2015-11-30,-0.39868158526710673
2015-12-31,-0.532836008895431
2016-01-31,-0.8266348840976652
2016-02-29,-0.8689961918966324
2016-03-31,-0.6557942721007176
2016-04-30,-0.6403410348573506
2016-05-31,-0.6723959969071434
2016-06-30,-0.784454388844056
2016-07-31,-0.6422700183100052
2016-08-31,-0.6319894786892073
2016-09-30,-0.6474182437833073
2016-10-31,-0.625766753519458
2016-11-30,-0.6381594950141797
2016-12-31,-0.5234065851252357
2017-01-31,-0.4739805217312287
2017-02-28,-0.42812054034870634
2017-03-31,-0.36328225256884195
2017-04-30,-0.29932399011304434
2017-05-31,-0.2553387697481018
2017-06-30,-0.30727047180600486
2017-07-31,-0.2461425012913471
2017-08-31,-0.21750890119185415
2017-09-30,-0.17927904845674472
2017-10-31,-0.10685558621852553
2017-11-30,-0.1742660884735317
2017-12-31,-0.12259193404297478
