,GFC Proxy-Daily
2001-11-27,0.43669647532629247
2001-11-28,0.3489632464768944
2001-11-29,0.34540660499307013
2001-11-30,0.38515278670800657
2001-12-03,0.3736404530596595
2001-12-04,0.43190330969667057
2001-12-05,0.556365316202259
2001-12-06,0.5949195493808914
2001-12-07,0.5749561589595629
2001-12-09,0.5736672992480595
2001-12-10,0.5139031915546037
2001-12-11,0.512971389761044
2001-12-12,0.5019905626554848
2001-12-13,0.42255390435022316
2001-12-14,0.4060882092166618
2001-12-17,0.4600492996818237
2001-12-18,0.48114872772666706
2001-12-19,0.48101145586751276
2001-12-20,0.47528900657431983
2001-12-21,0.49041588717696205
2001-12-23,0.4895893166067754
2001-12-24,0.4996529481324142
2001-12-25,0.49915003549960524
2001-12-26,0.5086234727202462
2001-12-27,0.5587354663399207
2001-12-28,0.580337292828728
2001-12-29,0.581092658679294
2001-12-30,0.5798332276486909
2001-12-31,0.5729902434890101
2002-01-01,0.5714903080802648
2002-01-02,0.5857405510752919
2002-01-03,0.6819384824619212
2002-01-04,0.7224850819012064
2002-01-06,0.7214559795888299
2002-01-07,0.7161962859368395
2002-01-08,0.6948592012708131
2002-01-09,0.6794906205222253
2002-01-10,0.6465331087619423
2002-01-11,0.6449096303487348
2002-01-13,0.6435696036958921
2002-01-14,0.5635181931314536
2002-01-15,0.5673550725008986
2002-01-16,0.5154925587728614
2002-01-17,0.5820054801313344
2002-01-18,0.5875465346611412
2002-01-20,0.5861375249602911
2002-01-21,0.5879212517976928
2002-01-22,0.5829171034649732
2002-01-23,0.616843002872127
2002-01-24,0.6339105238718528
2002-01-25,0.6240470565650861
2002-01-27,0.6227202682982778
2002-01-28,0.6359071293330175
2002-01-29,0.5942238484241531
2002-01-30,0.5589223678633573
2002-01-31,0.6201920078500142
2002-02-01,0.6301051398237197
2002-02-03,0.6288052610799556
2002-02-04,0.5797560284465794
2002-02-05,0.5288395320543208
2002-02-06,0.5065054142095401
2002-02-07,0.49450509113743235
2002-02-08,0.5013358989651592
2002-02-10,0.49999445310468493
2002-02-11,0.5295453491134032
2002-02-12,0.5158523928191373
2002-02-13,0.5409113326566457
2002-02-14,0.5645967547085919
2002-02-15,0.5272839308228777
2002-02-17,0.5258178126000699
2002-02-18,0.5107220212026619
2002-02-19,0.44353701187806344
2002-02-20,0.42579189377590787
2002-02-21,0.43056894766392734
2002-02-22,0.4125186074516536
2002-02-25,0.4647782884708212
2002-02-26,0.48966244494436834
2002-02-27,0.5435809039795246
2002-02-28,0.5316744505760774
2002-03-01,0.6022458075410466
2002-03-03,0.6008775344653744
2002-03-04,0.6959130187305621
2002-03-05,0.6857917190917411
2002-03-06,0.7098625658071754
2002-03-07,0.7452472848869278
2002-03-08,0.7807772813513945
2002-03-10,0.7798775736364334
2002-03-11,0.7560064001510446
2002-03-12,0.7135538372225021
2002-03-13,0.6923092029652601
2002-03-14,0.6933428862355938
2002-03-15,0.7150449668512102
2002-03-17,0.7142430323588255
2002-03-18,0.7394389228084681
2002-03-19,0.7463304945560857
2002-03-20,0.7050405965676535
2002-03-21,0.7200747467521195
2002-03-22,0.7459892623082034
2002-03-24,0.744912806851849
2002-03-25,0.7121169411176805
2002-03-26,0.7047398611716976
2002-03-27,0.716533598667006
2002-03-28,0.7444379249428296
2002-03-29,0.7420475581762923
2002-03-31,0.7397606857282918
2002-04-01,0.738835071758665
2002-04-02,0.705398815589201
2002-04-03,0.6781477678128449
2002-04-04,0.6723725718958647
2002-04-05,0.6730675176338702
2002-04-07,0.6722205097037128
2002-04-08,0.6337614363498906
2002-04-09,0.6434020597366057
2002-04-10,0.6812837710395518
2002-04-11,0.6392188800754244
2002-04-12,0.6506843930605337
2002-04-14,0.6494022359163105
2002-04-15,0.6669495250612191
2002-04-16,0.7213122524845957
2002-04-17,0.7449716989332545
2002-04-18,0.7295416590904419
2002-04-19,0.7332987966543512
2002-04-22,0.6918215442284812
2002-04-23,0.6808855197724002
2002-04-24,0.6630778763315074
2002-04-25,0.630025792305181
2002-04-26,0.6228299657623615
2002-04-27,0.6206349092791928
2002-04-28,0.6195965110527749
2002-04-29,0.582182063904091
2002-04-30,0.6010742760799322
2002-05-01,0.6021100571848148
2002-05-02,0.5932961253473197
2002-05-03,0.5700777304555428
2002-05-05,0.5681667039250731
2002-05-06,0.5364636921556116
2002-05-07,0.5066553267221896
2002-05-08,0.613438422590374
2002-05-09,0.5831960005937845
2002-05-10,0.539143324413222
2002-05-12,0.5375993381885735
2002-05-13,0.5632466067553961
2002-05-14,0.621371759454649
2002-05-15,0.6280633735042794
2002-05-16,0.6151225754102893
2002-05-17,0.614624842298361
2002-05-18,0.6143821596419093
2002-05-19,0.6133209775156514
2002-05-20,0.5886119464267955
2002-05-21,0.5520255978533859
2002-05-22,0.5114765496138649
2002-05-23,0.5195858580021381
2002-05-24,0.4989297369362486
2002-05-26,0.4972276313116283
2002-05-27,0.4988596518051836
2002-05-28,0.4759502459670279
2002-05-29,0.44303060442800923
2002-05-30,0.39718820434523305
2002-05-31,0.4001001611225115
2002-06-02,0.39861397215779876
2002-06-03,0.3571242396149737
2002-06-04,0.29429205544368825
2002-06-05,0.3011359964259229
2002-06-06,0.27651201956923094
2002-06-07,0.22907672897271777
2002-06-09,0.22754065032242876
2002-06-10,0.23235000065273606
2002-06-11,0.2329065513434424
2002-06-12,0.1853913782663561
2002-06-13,0.1543562940636439
2002-06-14,0.0735093650025532
2002-06-16,0.07198075493390876
2002-06-17,0.14710068938265683
2002-06-18,0.1439099852179931
2002-06-19,0.0631620738678546
